"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13189","User can logout successfully","webkit","Sat Sep 13 21:45:59 BDT 2025","passed","Sat Sep 13 21:46:12 BDT 2025","","TestLogoutPage_TC004.spec.js","",""
"","3121","Login with valid credentials","chromium","Sat Sep 13 21:45:37 BDT 2025","passed","Sat Sep 13 21:45:41 BDT 2025","","TestAccountLoginPage_TC001.spec.js","",""
"","2188","Add product to cart","chromium","Sat Sep 13 21:45:37 BDT 2025","passed","Sat Sep 13 21:45:40 BDT 2025","","TestCartPage_TC002.spec.js","",""
"","7161","User can checkout a product","firefox","Sat Sep 13 21:45:44 BDT 2025","passed","Sat Sep 13 21:45:51 BDT 2025","","TestCheckoutPage_TC003.spec.js","",""
"","2582","User can logout successfully","chromium","Sat Sep 13 21:45:39 BDT 2025","passed","Sat Sep 13 21:45:42 BDT 2025","","TestLogoutPage_TC004.spec.js","",""
"","6521","Add product to cart","firefox","Sat Sep 13 21:45:42 BDT 2025","passed","Sat Sep 13 21:45:49 BDT 2025","","TestCartPage_TC002.spec.js","",""
"","6216","Login with invalid credentials","firefox","Sat Sep 13 21:45:42 BDT 2025","passed","Sat Sep 13 21:45:48 BDT 2025","","TestAccountLoginPage_TC001.spec.js","",""
"","3923","User can checkout a product","webkit","Sat Sep 13 21:45:56 BDT 2025","passed","Sat Sep 13 21:45:59 BDT 2025","","TestCheckoutPage_TC003.spec.js","",""
"","2547","User can checkout a product","chromium","Sat Sep 13 21:45:37 BDT 2025","passed","Sat Sep 13 21:45:40 BDT 2025","","TestCheckoutPage_TC003.spec.js","",""
"","4965","Login with valid credentials","firefox","Sat Sep 13 21:45:41 BDT 2025","passed","Sat Sep 13 21:45:46 BDT 2025","","TestAccountLoginPage_TC001.spec.js","",""
"","3724","Add product to cart","webkit","Sat Sep 13 21:45:59 BDT 2025","passed","Sat Sep 13 21:46:02 BDT 2025","","TestCartPage_TC002.spec.js","",""
"","1386","Login with invalid credentials","chromium","Sat Sep 13 21:45:37 BDT 2025","passed","Sat Sep 13 21:45:39 BDT 2025","","TestAccountLoginPage_TC001.spec.js","",""
"","3742","Login with invalid credentials","webkit","Sat Sep 13 21:45:55 BDT 2025","passed","Sat Sep 13 21:45:58 BDT 2025","","TestAccountLoginPage_TC001.spec.js","",""
"","5544","User can logout successfully","firefox","Sat Sep 13 21:45:47 BDT 2025","passed","Sat Sep 13 21:45:53 BDT 2025","","TestLogoutPage_TC004.spec.js","",""
"","3543","Login with valid credentials","webkit","Sat Sep 13 21:45:56 BDT 2025","passed","Sat Sep 13 21:45:59 BDT 2025","","TestAccountLoginPage_TC001.spec.js","",""
